id,age,income,employment_length,credit_score,dti_ratio,home_ownership
1,37,49689,8,667,24.7,MORTGAGE
2,23,66307,19,734,7.3,MORTGAGE
3,66,29224,5,783,14.9,RENT
4,24,31051,25,750,20.4,OTHER
5,34,27610,18,548,21.1,RENT
6,45,68819,20,738,26.9,MORTGAGE
7,62,94527,8,683,19.3,RENT
8,58,60334,29,652,28.2,MORTGAGE
9,56,78798,17,673,20.9,MORTGAGE
10,31,58922,3,703,9.7,OWN
11,22,42526,27,444,19.9,MORTGAGE
12,68,67447,30,589,27.6,OWN
13,34,107032,19,641,31.7,OWN
14,41,62343,28,850,22.5,MORTGAGE
15,30,49759,4,789,9.0,RENT
16,34,37708,22,816,19.7,MORTGAGE
17,59,64982,0,680,9.4,RENT
18,53,63497,21,739,23.2,MORTGAGE
19,64,39974,3,700,12.5,OWN
20,28,70366,27,612,22.1,OWN
21,57,42156,27,766,33.9,OWN
22,47,89202,6,732,26.9,RENT
23,57,115078,23,649,15.9,RENT
24,59,63710,1,752,1,OWN
25,37,58588,27,710,2.4,MORTGAGE
26,38,31599,10,616,26.5,RENT
27,22,116269,2,619,1,OTHER
28,37,35598,28,849,18.0,MORTGAGE
29,64,56686,9,845,38.3,RENT
30,65,33300,6,566,16.8,OWN
31,62,61278,4,757,27.9,OWN
32,24,26230,17,824,28.7,RENT
33,44,20923,28,731,23.9,RENT
34,32,17321,7,679,40.0,MORTGAGE
35,37,80185,23,566,20.1,RENT
36,36,43157,26,752,24.5,RENT
37,56,36600,26,622,20.8,MORTGAGE
38,42,41664,25,611,1,RENT
39,65,54836,17,850,18.9,MORTGAGE
40,68,32349,3,585,31.6,MORTGAGE
41,65,108074,12,727,21.9,MORTGAGE
42,63,126798,19,719,17.3,MORTGAGE
43,62,38432,21,640,18.8,OTHER
44,61,61262,15,696,24.3,OWN
45,22,63995,22,638,37.5,MORTGAGE
46,29,53206,7,651,4.7,MORTGAGE
47,49,32267,16,571,28.1,MORTGAGE
48,53,28328,16,580,16.4,RENT
49,46,50608,7,632,16.6,RENT
50,59,89583,28,705,23.9,MORTGAGE
51,48,87039,28,653,6.2,MORTGAGE
52,47,58810,21,760,18.9,MORTGAGE
53,30,45303,13,660,26.2,RENT
54,48,41065,30,732,21.9,RENT
55,70,91559,1,850,29.4,MORTGAGE
56,38,47232,22,621,22.6,MORTGAGE
57,58,58200,9,695,10.9,RENT
58,65,117253,9,686,17.9,OTHER
59,48,73362,0,797,24.1,OTHER
60,56,49082,19,550,23.7,MORTGAGE
61,37,46098,14,746,22.0,MORTGAGE
62,43,56194,8,595,19.5,MORTGAGE
63,37,30674,24,660,16.7,OWN
64,52,113296,11,685,13.3,OTHER
65,34,76062,23,657,15.4,OTHER
66,60,15000,16,640,21.1,RENT
67,57,49750,1,609,15.7,MORTGAGE
68,25,60052,5,584,21.7,RENT
69,58,41594,25,659,26.0,RENT
70,50,30166,12,565,29.1,MORTGAGE
71,35,51190,24,719,16.5,RENT
72,40,82098,15,564,30.1,RENT
73,34,27428,21,709,10.8,MORTGAGE
74,58,28329,26,712,31.5,OWN
75,49,54610,1,643,20.7,RENT
76,65,51365,24,664,27.7,MORTGAGE
77,62,289258,13,626,32.4,OWN
78,40,83804,15,729,16.7,MORTGAGE
79,54,96063,27,795,22.2,MORTGAGE
80,70,35984,14,604,29.5,RENT
81,37,61524,25,804,19.8,RENT
82,31,57523,26,636,6.1,OWN
83,34,101975,12,684,32.5,MORTGAGE
84,22,113962,8,595,20.3,MORTGAGE
85,46,91465,17,615,13.5,RENT
86,67,68368,15,613,30.4,OTHER
87,50,49167,3,758,39.8,RENT
88,43,80425,8,819,14.8,RENT
89,70,44378,28,801,9.6,MORTGAGE
90,70,31782,3,678,8.5,OWN
91,31,63748,13,759,22.4,MORTGAGE
92,59,90221,15,579,28.9,RENT
93,50,99845,2,653,49.9,RENT
94,28,86499,15,707,23.0,MORTGAGE
95,69,102574,21,662,43.7,MORTGAGE
96,38,95741,19,603,15.0,MORTGAGE
97,45,89552,18,644,21.5,RENT
98,39,38780,16,741,25.7,MORTGAGE
99,26,66829,30,656,38.5,MORTGAGE
100,56,70912,8,756,28.8,MORTGAGE
101,23,93113,15,586,4.5,RENT
102,29,43103,13,744,37.4,RENT
103,69,81952,21,745,17.9,MORTGAGE
104,39,56064,30,588,31.4,OWN
105,44,120247,20,549,29.5,OTHER
106,43,51044,25,664,22.2,MORTGAGE
107,31,145279,10,718,25.2,RENT
108,30,104221,0,740,39.6,RENT
109,26,29430,23,674,4.8,OWN
110,64,68548,27,831,11.0,OTHER
111,50,31751,29,639,25.7,MORTGAGE
112,55,47444,19,603,18.7,OWN
113,50,39439,13,509,29.9,MORTGAGE
114,31,77213,30,653,17.6,RENT
115,59,65474,1,646,34.4,MORTGAGE
116,40,90930,1,502,14.5,MORTGAGE
117,29,99454,11,815,23.0,MORTGAGE
118,64,30691,19,627,25.8,RENT
119,26,33808,12,759,30.9,RENT
120,58,77732,10,722,4.9,RENT
121,39,74163,13,570,24.6,RENT
122,47,50396,7,603,25.3,RENT
123,49,57235,23,674,26.4,MORTGAGE
124,49,83718,1,840,44.4,MORTGAGE
125,42,61223,0,641,33.4,OWN
126,47,66097,2,596,33.4,RENT
127,44,50618,11,484,19.4,MORTGAGE
128,26,32633,20,558,29.6,OWN
129,42,33373,19,775,31.2,RENT
130,26,64085,16,675,17.9,RENT
131,51,77716,12,781,1,MORTGAGE
132,31,101806,16,726,32.6,MORTGAGE
133,50,75621,14,711,8.4,RENT
134,43,32562,20,550,26.1,MORTGAGE
135,27,30818,10,832,17.2,RENT
136,43,85176,25,648,27.8,MORTGAGE
137,35,77818,5,624,12.7,RENT
138,69,90172,26,804,24.1,RENT
139,32,25619,25,755,21.5,RENT
140,37,31387,17,679,15.4,OWN
141,54,59694,12,608,1,MORTGAGE
142,67,34471,3,760,33.1,RENT
143,50,86085,7,478,39.3,OWN
144,28,64532,10,735,29.7,MORTGAGE
145,50,25948,15,754,5.7,RENT
146,40,38889,24,606,22.4,RENT
147,58,51431,16,666,22.3,OWN
148,26,31883,11,626,34.0,MORTGAGE
149,38,61920,11,765,21.8,RENT
150,24,35819,4,548,16.6,MORTGAGE
151,51,45834,24,692,28.5,MORTGAGE
152,24,51909,8,792,22.1,RENT
153,69,32521,12,709,1,RENT
154,68,37175,2,700,12.6,OTHER
155,60,78388,14,644,20.8,OWN
156,25,38065,20,607,34.7,RENT
157,26,33421,4,637,23.3,RENT
158,26,46516,24,762,11.0,RENT
159,57,94443,29,722,34.8,MORTGAGE
160,26,54020,4,740,1.6,OWN
161,56,27343,17,610,19.9,RENT
162,53,49878,7,838,34.5,RENT
163,52,341384,23,550,5.1,MORTGAGE
164,30,68418,11,550,34.5,MORTGAGE
165,55,49522,3,705,25.4,RENT
166,57,39621,20,718,19.9,MORTGAGE
167,68,46690,19,631,29.4,MORTGAGE
168,63,41243,8,826,25.2,MORTGAGE
169,65,38949,7,632,12.9,MORTGAGE
170,67,68524,27,653,9.4,RENT
171,39,68197,3,732,16.8,RENT
172,58,43439,10,715,20.8,RENT
173,51,64529,16,850,28.8,RENT
174,22,34032,17,622,28.1,MORTGAGE
175,57,66364,11,789,19.6,OWN
176,45,136308,12,850,24.5,MORTGAGE
177,43,56120,22,704,26.0,RENT
178,41,83389,26,582,12.1,OWN
179,48,56772,3,760,6.6,MORTGAGE
180,36,23232,18,711,19.6,RENT
181,23,38488,6,554,12.3,OWN
182,25,64366,23,507,18.7,MORTGAGE
183,44,63242,17,572,13.0,MORTGAGE
184,41,81965,30,666,24.1,MORTGAGE
185,29,39341,9,811,10.8,MORTGAGE
186,27,80706,22,661,15.8,RENT
187,28,39526,4,806,12.1,RENT
188,65,81788,3,557,22.1,MORTGAGE
189,40,56789,30,620,15.8,MORTGAGE
190,33,17019,29,644,5.4,MORTGAGE
191,40,116503,27,738,23.0,MORTGAGE
192,30,51904,15,792,28.7,RENT
193,43,74654,23,677,25.3,MORTGAGE
194,47,31802,2,730,18.9,RENT
195,43,124695,30,693,16.9,RENT
196,54,57735,21,628,40.5,MORTGAGE
197,31,186273,15,721,1,RENT
198,65,40090,7,647,22.6,RENT
199,54,50511,17,650,25.7,RENT
200,50,48584,16,645,26.0,OWN
201,38,25571,12,730,28.7,MORTGAGE
202,52,51890,2,850,32.1,MORTGAGE
203,27,24446,12,813,16.0,OWN
204,22,146599,26,850,23.1,OWN
205,34,85893,8,681,36.8,RENT
206,24,65271,19,681,7.9,MORTGAGE
207,25,44040,24,533,42.2,RENT
208,31,38783,28,707,34.1,OWN
209,57,37426,13,787,1,MORTGAGE
210,70,68194,5,616,14.8,RENT
211,46,47652,4,792,22.3,MORTGAGE
212,65,46965,12,694,19.8,RENT
213,22,155388,9,730,23.5,MORTGAGE
214,42,157234,17,736,23.6,OWN
215,52,54387,23,638,22.6,RENT
216,59,49499,17,679,12.9,RENT
217,43,54349,21,548,21.1,OTHER
218,33,108840,15,749,32.8,MORTGAGE
219,22,42160,24,805,5.6,RENT
220,61,70556,29,799,34.5,RENT
221,23,29437,9,660,6.5,OWN
222,44,108469,8,687,20.9,RENT
223,27,114723,27,700,10.8,MORTGAGE
224,27,55480,5,691,11.3,MORTGAGE
225,66,45445,28,736,30.6,RENT
226,42,51521,29,658,28.8,RENT
227,65,139651,12,690,29.1,MORTGAGE
228,28,53812,1,436,4.4,RENT
229,36,255034,15,638,7.3,OWN
230,27,77726,2,660,20.9,MORTGAGE
231,45,103862,14,850,22.3,RENT
232,27,61756,17,711,7.6,MORTGAGE
233,58,28787,7,661,6.9,RENT
234,52,76777,9,715,23.9,MORTGAGE
235,43,56603,12,686,27.3,MORTGAGE
236,42,31382,9,609,9.7,OWN
237,37,31360,18,644,18.3,MORTGAGE
238,57,53883,24,736,37.9,MORTGAGE
239,48,81506,25,838,19.5,RENT
240,52,79315,19,609,11.3,MORTGAGE
241,62,22636,19,630,26.1,RENT
242,70,50144,12,814,13.3,RENT
243,50,41281,7,551,14.2,MORTGAGE
244,29,159493,2,622,29.9,RENT
245,66,65170,23,656,18.4,RENT
246,37,41407,23,656,9.4,RENT
247,49,42882,21,640,9.0,MORTGAGE
248,26,80339,22,695,6.1,OWN
249,62,32555,30,630,18.2,RENT
250,41,104955,25,742,33.7,MORTGAGE
251,48,65990,12,645,11.2,OWN
252,53,47567,5,730,20.4,MORTGAGE
253,54,86093,17,709,16.1,OWN
254,39,38623,1,698,23.3,MORTGAGE
255,56,51832,8,562,26.2,MORTGAGE
256,63,53373,26,721,22.1,OTHER
257,37,98423,24,413,26.1,MORTGAGE
258,44,23538,18,743,8.8,RENT
259,28,49164,26,487,33.0,OWN
260,67,42004,4,665,18.7,MORTGAGE
261,62,38219,2,619,26.7,OWN
262,68,47244,0,756,44.3,MORTGAGE
263,53,91041,6,699,19.8,RENT
264,24,101703,1,604,36.2,OWN
265,66,54466,6,850,39.4,RENT
266,25,118194,5,545,15.2,MORTGAGE
267,59,54387,4,782,24.2,RENT
268,27,62410,12,703,21.4,RENT
269,31,32595,21,770,33.7,MORTGAGE
270,65,17616,19,677,15.5,MORTGAGE
271,30,82906,25,623,22.2,RENT
272,55,23455,6,785,16.9,RENT
273,62,54603,15,636,11.8,OTHER
274,65,34785,17,729,27.3,OTHER
275,47,163560,30,723,7.9,OWN
276,27,46279,8,558,17.6,RENT
277,26,26321,20,690,18.0,OTHER
278,41,85679,1,772,14.6,RENT
279,68,54742,16,596,21.4,MORTGAGE
280,55,63982,8,840,36.5,MORTGAGE
281,32,54262,11,563,21.9,MORTGAGE
282,52,50970,1,688,7.2,RENT
283,68,67091,13,610,14.0,MORTGAGE
284,47,15000,30,765,32.2,RENT
285,41,73465,25,629,21.5,RENT
286,31,33025,7,803,32.3,RENT
287,46,53734,21,684,31.4,RENT
288,39,101277,22,850,40.8,MORTGAGE
289,30,28022,16,678,15.5,MORTGAGE
290,47,83608,25,674,17.0,RENT
291,32,42690,3,685,13.7,RENT
292,32,67730,2,508,25.0,MORTGAGE
293,47,66489,11,737,7.0,RENT
294,51,43580,3,573,36.3,RENT
295,63,35181,20,718,33.5,MORTGAGE
296,43,26300,2,580,39.1,RENT
297,44,62294,5,814,23.4,RENT
298,57,33876,28,616,17.8,RENT
299,23,268777,17,681,39.4,RENT
300,23,53773,5,590,19.1,MORTGAGE
301,28,15000,5,717,22.1,OWN
302,33,51333,29,768,28.0,MORTGAGE
303,58,91107,4,610,40.0,MORTGAGE
