id,borrower_id,loan_amount,interest_rate,purpose,issue_date,status,risk_segment
1,1,36741,18.44,debt_consolidation,2022-05-14,default,Medium
2,2,28493,9.62,debt_consolidation,2023-04-21,paid,Low
3,3,23059,13.51,debt_consolidation,2022-02-17,paid,Low
4,4,25807,7.08,debt_consolidation,2021-08-23,current,Low
5,5,19965,10.82,other,2024-10-17,paid,Medium
6,6,5679,15.2,education,2020-12-16,current,Low
7,7,4665,9.39,debt_consolidation,2020-03-06,current,Low
8,8,26928,9.56,other,2023-08-09,paid,Medium
9,9,27175,17.29,home_improvement,2020-10-10,current,Low
10,10,5163,6.91,home_improvement,2023-05-05,current,Low
11,11,18486,10.21,car,2021-11-27,default,Medium
12,12,12708,9.8,small_business,2020-08-05,current,Medium
13,13,35757,17.56,other,2023-05-11,paid,Medium
14,14,6161,14.96,debt_consolidation,2022-09-22,current,Low
15,15,35581,4,other,2022-05-16,current,Low
16,16,25472,8.07,medical,2022-11-25,current,Low
17,17,4858,10.23,debt_consolidation,2020-03-05,current,Low
18,18,38423,14.08,small_business,2021-05-12,current,Low
19,19,4550,13.76,major_purchase,2023-08-16,paid,Low
20,20,28648,14.6,debt_consolidation,2022-08-05,paid,Medium
21,21,1967,15.35,other,2024-03-23,current,Low
22,22,26586,10.62,debt_consolidation,2024-05-24,current,Low
23,23,15267,8.07,other,2023-04-01,current,Low
24,24,4727,13.3,other,2020-06-13,current,Low
25,25,38940,17.42,education,2023-06-22,paid,Low
26,26,26938,18.09,debt_consolidation,2023-08-14,paid,Medium
27,27,5801,15.73,small_business,2022-11-02,paid,Low
28,28,20825,13.71,education,2024-07-10,current,Low
29,29,8014,16.97,major_purchase,2020-11-14,paid,Low
30,30,4329,9.66,debt_consolidation,2022-05-17,current,Medium
31,31,29028,11.7,small_business,2020-08-17,paid,Low
32,32,9352,7.44,debt_consolidation,2022-01-16,current,Low
33,33,37692,14.94,other,2022-04-12,current,Low
34,34,2624,10.91,debt_consolidation,2021-11-11,current,Medium
35,35,3537,19.0,other,2021-03-31,paid,Medium
36,36,19258,17.79,other,2024-05-02,paid,Low
37,37,18118,12.83,debt_consolidation,2021-06-27,default,Medium
38,38,38787,16.48,debt_consolidation,2020-03-31,current,Low
39,39,24869,5.54,medical,2023-09-22,current,Low
40,40,22376,9.2,home_improvement,2021-08-28,current,Medium
41,41,27612,9.53,small_business,2020-01-01,paid,Low
42,42,34500,15.88,medical,2024-06-18,current,Low
43,43,16392,10.79,major_purchase,2021-04-05,current,Low
44,44,38727,10.74,debt_consolidation,2023-11-27,current,Low
45,45,28862,7.04,debt_consolidation,2024-07-04,current,Medium
46,46,37629,13.94,education,2024-03-26,current,Low
47,47,32108,7.59,medical,2024-03-19,paid,Medium
48,48,19725,9.71,debt_consolidation,2021-11-18,paid,Low
49,49,27712,6.12,home_improvement,2022-08-12,current,Low
50,50,38728,11.74,home_improvement,2020-01-13,current,Low
51,51,15453,10.45,medical,2021-07-12,current,Low
52,52,36004,4.44,debt_consolidation,2022-03-17,current,Low
53,53,22453,10.12,debt_consolidation,2021-10-31,paid,Medium
54,54,36351,13.65,debt_consolidation,2021-12-17,paid,Low
55,55,10986,12.58,debt_consolidation,2022-08-27,current,Low
56,56,8506,9.59,car,2020-12-01,current,Medium
57,57,13997,4,debt_consolidation,2023-11-15,current,Low
58,58,3691,10.8,home_improvement,2022-05-27,current,Low
59,59,31129,10.3,major_purchase,2022-06-10,paid,Low
60,60,39828,7.58,debt_consolidation,2024-10-10,paid,Medium
61,61,23046,6.8,debt_consolidation,2024-10-08,paid,Low
62,62,37424,17.29,debt_consolidation,2021-01-26,paid,Low
63,63,2130,6.63,debt_consolidation,2021-03-29,current,Low
64,64,37070,10.79,home_improvement,2023-12-10,current,Low
65,65,13133,18.04,debt_consolidation,2024-02-21,current,Low
66,66,15908,13.8,home_improvement,2021-09-11,default,Medium
67,67,33170,21.27,debt_consolidation,2020-01-26,current,Low
68,68,5282,19.96,home_improvement,2020-05-31,current,Medium
69,69,37573,11.47,car,2023-05-26,current,Medium
70,70,29103,10.17,home_improvement,2023-06-25,default,Medium
71,71,16719,9.78,debt_consolidation,2020-06-02,paid,Low
72,72,30755,12.67,debt_consolidation,2021-04-23,current,High
73,73,18408,14.27,car,2020-05-26,default,Low
74,74,20928,9.96,major_purchase,2021-07-11,current,Medium
75,75,16002,6.58,other,2024-09-08,current,Medium
76,76,12481,7.28,medical,2023-08-27,paid,Medium
77,77,27761,4,home_improvement,2023-10-04,default,Medium
78,78,3404,8.55,medical,2021-10-06,paid,Low
79,79,31276,11.83,home_improvement,2021-01-19,current,Low
80,80,19876,13.0,medical,2023-12-01,current,Medium
81,81,27738,8.66,debt_consolidation,2024-09-19,current,Low
82,82,18919,12.06,home_improvement,2022-09-15,current,Low
83,83,5575,9.75,debt_consolidation,2024-06-05,current,Medium
84,84,33089,15.3,other,2022-07-03,current,Medium
85,85,16650,12.98,small_business,2021-04-23,current,Low
86,86,10968,9.97,medical,2020-03-16,default,Medium
87,87,10447,17.15,home_improvement,2023-09-02,current,Low
88,88,22532,9.18,other,2024-10-25,current,Low
89,89,16385,12.38,education,2021-08-11,current,Low
90,90,20625,5.95,other,2020-04-04,paid,Low
91,91,12800,16.12,debt_consolidation,2020-06-10,current,Low
92,92,17733,15.48,major_purchase,2024-07-05,paid,Medium
93,93,28807,8.0,major_purchase,2022-07-24,current,High
94,94,20348,17.19,debt_consolidation,2024-08-26,current,Low
95,95,19756,10.55,car,2021-04-16,paid,High
96,96,9963,6.26,education,2023-07-09,current,Low
97,97,28230,10.27,debt_consolidation,2020-09-27,current,Medium
98,98,32578,9.3,other,2021-08-27,current,Low
99,99,27044,20.06,other,2024-07-05,current,Medium
100,100,18181,14.69,education,2024-08-11,current,Low
101,101,15507,5.46,education,2023-07-25,current,Low
102,102,33284,19.44,debt_consolidation,2021-04-25,current,Low
103,103,11126,7.29,other,2023-09-03,paid,Low
104,104,16473,12.79,other,2020-07-22,current,Medium
105,105,30800,13.19,debt_consolidation,2021-03-10,current,Medium
106,106,5496,14.07,car,2023-02-09,paid,Medium
107,107,10482,6.77,other,2023-01-11,paid,Low
108,108,22218,12.66,debt_consolidation,2021-06-27,default,Low
109,109,8146,13.03,medical,2021-03-29,current,Low
110,110,4986,11.41,other,2024-10-01,current,Low
111,111,5304,12.73,debt_consolidation,2023-07-02,current,Medium
112,112,8498,16.56,other,2023-08-26,current,Low
113,113,27131,9.33,home_improvement,2020-07-13,paid,Medium
114,114,6594,7.82,debt_consolidation,2020-07-16,current,Low
115,115,27922,10.62,home_improvement,2023-09-24,current,Medium
116,116,14942,9.8,debt_consolidation,2022-09-14,paid,Medium
117,117,37763,6.79,other,2024-08-03,current,Low
118,118,21249,9.23,other,2021-12-19,default,Medium
119,119,35765,16.41,debt_consolidation,2022-05-09,current,Low
120,120,4261,7.29,major_purchase,2021-07-11,current,Low
121,121,8267,16.68,debt_consolidation,2023-10-21,current,Medium
122,122,14843,11.87,car,2024-04-14,paid,Medium
123,123,33785,15.49,small_business,2023-09-30,current,Low
124,124,38732,13.06,medical,2022-04-08,current,Medium
125,125,24714,20.57,debt_consolidation,2024-09-25,default,Medium
126,126,12018,7.19,debt_consolidation,2023-07-20,default,Medium
127,127,16484,4.68,debt_consolidation,2021-06-08,paid,Medium
128,128,37944,18.18,major_purchase,2022-07-08,current,Medium
129,129,5475,7.77,medical,2023-07-17,paid,Low
130,130,19813,16.07,debt_consolidation,2024-11-04,current,Low
131,131,3688,7.2,medical,2024-07-16,current,Low
132,132,23507,10.85,other,2020-06-21,current,Medium
133,133,19539,11.17,home_improvement,2024-05-05,paid,Low
134,134,19621,12.72,debt_consolidation,2024-10-10,current,Medium
135,135,26687,10.9,debt_consolidation,2023-12-22,current,Low
136,136,35497,6.51,debt_consolidation,2023-10-05,paid,Medium
137,137,10015,17.72,debt_consolidation,2021-08-28,current,Low
138,138,9588,11.26,education,2020-11-11,paid,Low
139,139,16566,10.82,other,2023-06-04,paid,Low
140,140,13715,18.77,home_improvement,2023-03-14,current,Low
141,141,10070,10.21,other,2020-04-16,current,Low
142,142,11506,5.57,debt_consolidation,2022-11-17,paid,Low
143,143,26982,5.88,small_business,2021-04-27,paid,High
144,144,10017,7.09,debt_consolidation,2024-08-26,current,Low
145,145,15133,6.24,car,2023-01-28,current,Low
146,146,30957,14.03,debt_consolidation,2024-09-09,current,Medium
147,147,24122,14.22,debt_consolidation,2022-05-03,paid,Medium
148,148,34267,10.55,small_business,2022-03-10,current,Medium
149,149,16802,8.24,major_purchase,2023-07-10,paid,Low
150,150,31449,14.91,other,2022-09-07,current,Medium
151,151,3746,12.62,home_improvement,2021-09-27,current,Low
152,152,4132,9.4,other,2021-11-10,paid,Low
153,153,13243,15.7,medical,2022-10-15,current,Low
154,154,12826,13.94,small_business,2021-10-19,paid,Low
155,155,30303,9.63,debt_consolidation,2024-11-16,current,Medium
156,156,11484,14.59,other,2020-10-19,current,Medium
157,157,38174,17.74,debt_consolidation,2020-11-10,current,Medium
158,158,19264,9.8,debt_consolidation,2020-08-20,default,Low
159,159,15062,16.66,other,2021-08-07,current,Medium
160,160,6753,14.54,car,2024-09-27,current,Low
161,161,12409,15.27,car,2022-11-07,paid,Low
162,162,37152,12.84,debt_consolidation,2024-12-15,paid,Low
163,163,5833,10.9,debt_consolidation,2021-10-11,current,Medium
164,164,12925,7.17,car,2020-09-21,paid,High
165,165,15776,13.97,home_improvement,2022-11-28,current,Low
166,166,7122,17.54,small_business,2020-12-11,current,Low
167,167,3699,9.9,car,2020-02-28,default,Medium
168,168,2984,17.05,medical,2023-07-08,current,Low
169,169,11359,14.45,medical,2022-09-18,current,Low
170,170,27130,22.79,debt_consolidation,2022-01-28,current,Low
171,171,26175,12.69,other,2022-05-06,paid,Low
172,172,34733,9.45,medical,2024-12-05,paid,Low
173,173,4312,11.42,debt_consolidation,2023-05-08,current,Low
174,174,24971,8.52,car,2022-01-19,default,Medium
175,175,37035,15.84,debt_consolidation,2023-06-30,current,Low
176,176,10454,8.5,debt_consolidation,2022-11-08,current,Low
177,177,34784,7.43,debt_consolidation,2023-06-09,paid,Low
178,178,33102,9.36,major_purchase,2021-09-05,current,Low
179,179,2746,8.42,education,2021-06-27,current,Low
180,180,25916,6.79,debt_consolidation,2023-10-26,paid,Low
181,181,14362,13.51,home_improvement,2024-05-06,current,Medium
182,182,32350,7.35,small_business,2021-10-04,current,Medium
183,183,18325,4.81,education,2021-01-28,current,Medium
184,184,33047,5.81,home_improvement,2021-12-15,current,Medium
185,185,26856,9.77,car,2024-05-02,current,Low
186,186,32396,15.55,debt_consolidation,2024-08-22,current,Low
187,187,35802,8.47,debt_consolidation,2021-04-21,default,Low
188,188,11350,11.6,home_improvement,2024-12-08,current,Medium
189,189,6862,17.2,education,2021-04-20,current,Low
190,190,3381,15.76,other,2022-03-24,current,Low
191,191,8032,11.62,other,2021-11-17,paid,Low
192,192,8382,8.38,home_improvement,2024-02-06,current,Low
193,193,12501,6.99,education,2023-08-01,current,Low
194,194,22207,9.77,other,2020-01-14,paid,Low
195,195,24563,18.07,major_purchase,2020-05-07,current,Low
196,196,8694,8.11,education,2021-08-27,default,High
197,197,36994,15.35,other,2024-03-31,current,Low
198,198,30278,4,small_business,2022-01-10,default,Medium
199,199,35101,16.74,medical,2023-10-25,paid,Medium
200,200,30936,7.9,small_business,2023-02-18,paid,Medium
201,201,3968,5.95,medical,2023-12-05,paid,Low
202,202,28548,12.81,home_improvement,2024-12-30,current,Low
203,203,23791,6.63,debt_consolidation,2023-01-05,current,Low
204,204,36680,4,medical,2022-02-15,current,Low
205,205,28475,9.54,education,2024-12-14,current,Medium
206,206,17038,13.97,major_purchase,2022-04-03,current,Low
207,207,38755,21.79,home_improvement,2023-05-09,current,High
208,208,19032,11.56,debt_consolidation,2023-04-26,current,Medium
209,209,25979,12.29,car,2021-10-14,current,Low
210,210,10460,11.3,car,2020-04-28,current,Low
211,211,30477,14.69,car,2020-07-08,current,Low
212,212,39507,11.3,major_purchase,2023-02-18,paid,Low
213,213,32386,14.52,other,2023-11-25,current,Low
214,214,24544,8.13,home_improvement,2022-01-06,current,Low
215,215,21507,8.49,home_improvement,2023-02-26,current,Medium
216,216,22618,10.02,debt_consolidation,2023-03-12,current,Low
217,217,33151,19.42,medical,2024-02-09,current,Medium
218,218,4849,9.51,small_business,2024-09-14,current,Low
219,219,10897,16.02,debt_consolidation,2022-11-01,current,Low
220,220,35879,8.94,small_business,2020-01-25,default,Low
221,221,12748,11.91,debt_consolidation,2020-07-16,current,Low
222,222,27609,16.0,medical,2021-05-13,current,Low
223,223,7127,5.5,home_improvement,2022-02-11,current,Low
224,224,38083,12.0,other,2020-07-14,current,Low
225,225,5872,9.05,major_purchase,2021-07-28,current,Medium
226,226,27102,12.27,other,2021-09-04,default,Medium
227,227,10171,9.83,car,2023-11-12,current,Low
