ticker,date,open,high,low,close,volume
AAPL,2022-01-03,150.6001,151.0437,147.265,148.5539,11194786
AAPL,2022-01-04,149.2398,149.742,146.8872,147.9116,6756507
AAPL,2022-01-05,147.1997,147.8296,146.0947,147.0375,6117816
AAPL,2022-01-06,146.5482,146.6283,145.7593,146.6139,7770527
AAPL,2022-01-07,142.0802,147.8783,140.8907,144.0111,5895127
AAPL,2022-01-10,144.9038,145.0382,141.4785,143.5365,9445751
AAPL,2022-01-11,141.9974,142.5276,138.0628,142.4341,7056617
AAPL,2022-01-12,143.532,144.3978,142.7524,144.3535,48051580
AAPL,2022-01-13,148.9784,151.3683,148.9361,149.1483,14802134
AAPL,2022-01-14,148.6511,149.4889,146.0695,148.4217,8040591
AAPL,2022-01-17,149.7374,152.4557,147.1188,148.6909,10194856
AAPL,2022-01-18,147.8328,150.1316,145.8844,147.0588,32937651
AAPL,2022-01-19,148.3027,149.6375,145.6656,148.0809,8056571
AAPL,2022-01-20,151.766,153.4926,149.9007,151.1861,4614281
AAPL,2022-01-21,152.3557,152.3734,149.3857,150.4293,10340836
AAPL,2022-01-24,149.4632,152.8917,146.8691,150.16,17135817
AAPL,2022-01-25,149.4115,154.9035,148.747,150.5383,20440255
AAPL,2022-01-26,152.6307,152.718,145.8264,150.1411,44486268
AAPL,2022-01-27,151.6149,155.6279,149.6277,151.29,10340597
AAPL,2022-01-28,146.9691,147.8755,145.72,146.6,5258939
AAPL,2022-01-31,144.1394,145.9618,141.7564,145.3987,3444784
AAPL,2022-02-01,146.5229,146.5626,146.0174,146.0557,7185864
AAPL,2022-02-02,149.0297,150.7072,146.9107,148.264,38466416
AAPL,2022-02-03,149.1576,150.0835,148.3882,149.7786,32224497
AAPL,2022-02-04,148.4763,151.367,148.4615,150.7808,63301230
AAPL,2022-02-07,148.3338,148.44,147.5641,148.207,49329311
AAPL,2022-02-08,153.0794,153.4094,146.2835,148.9136,5829570
AAPL,2022-02-09,151.7029,152.149,146.6915,148.7153,9511122
AAPL,2022-02-10,151.2526,153.0315,147.4984,148.6631,17854984
AAPL,2022-02-11,150.5095,151.1735,142.853,146.9875,24871537
AAPL,2022-02-14,146.7426,147.922,141.8932,145.919,11043694
AAPL,2022-02-15,147.2327,149.7285,146.6106,148.5586,41809722
AAPL,2022-02-16,147.0305,152.3151,145.8438,147.9934,27572889
AAPL,2022-02-17,148.5458,149.4395,146.5178,148.9888,3320342
AAPL,2022-02-18,145.461,147.2017,143.9385,145.5624,14229775
AAPL,2022-02-21,151.3945,152.4165,148.0347,148.158,11834826
AAPL,2022-02-22,150.2759,153.6192,145.6528,149.3532,18481486
AAPL,2022-02-23,143.5523,151.3522,143.1111,147.1804,32513771
AAPL,2022-02-24,149.8291,151.0804,145.8008,147.9576,10395195
AAPL,2022-02-25,144.054,144.0762,142.4703,143.693,12327086
AAPL,2022-02-28,147.9965,149.9731,143.5849,146.1884,28617683
AAPL,2022-03-01,148.3316,149.7678,144.6938,147.0599,10782938
AAPL,2022-03-02,142.8274,148.9143,141.866,146.324,5839488
AAPL,2022-03-03,148.7435,149.7759,146.0999,149.0493,7273305
AAPL,2022-03-04,152.4177,156.1265,152.1508,153.1188,8349925
AAPL,2022-03-07,155.2665,158.6468,154.8758,156.0911,56551071
AAPL,2022-03-08,156.4464,161.0661,154.4673,159.1081,16963256
AAPL,2022-03-09,154.8218,158.7981,153.4228,157.6317,15434304
AAPL,2022-03-10,155.678,158.9499,155.1175,155.7217,8370192
AAPL,2022-03-11,158.4794,160.8621,155.9844,157.1759,15556560
AAPL,2022-03-14,155.7175,159.1389,155.3373,156.7665,8811840
AAPL,2022-03-15,155.5755,156.2209,152.9964,154.8785,9770223
AAPL,2022-03-16,149.5851,151.3874,149.339,150.6842,20361011
AAPL,2022-03-17,147.462,148.5588,145.3593,148.3995,28777199
AAPL,2022-03-18,145.1169,145.3799,143.1427,143.7735,26628554
AAPL,2022-03-21,143.8757,144.2898,141.3099,143.5739,15066993
AAPL,2022-03-22,143.3516,147.2618,142.5251,144.8661,78156558
AAPL,2022-03-23,148.8495,149.5183,144.7863,146.9124,37937300
AAPL,2022-03-24,145.7769,152.7233,145.2684,149.6204,43182248
AAPL,2022-03-25,149.633,155.7538,148.286,151.1707,6723993
AAPL,2022-03-28,152.3518,153.6676,149.3141,150.5433,5842849
AAPL,2022-03-29,144.5908,150.7391,144.1453,148.0142,8379056
AAPL,2022-03-30,150.8461,152.9941,148.703,151.8856,18619763
AAPL,2022-03-31,151.7874,152.1824,147.4082,151.0806,7733903
AAPL,2022-04-01,150.974,155.7026,148.0252,151.4998,10198591
AAPL,2022-04-04,155.8371,157.3244,155.7793,157.0181,10834078
AAPL,2022-04-05,154.1446,158.9747,153.998,157.1222,6177847
AAPL,2022-04-06,158.9548,160.0048,157.1091,157.7711,20567082
AAPL,2022-04-07,154.3017,158.7639,153.0025,156.3455,12195394
AAPL,2022-04-08,152.9894,158.923,152.431,156.3207,6245776
AAPL,2022-04-11,162.6459,163.2161,162.5526,162.723,19931156
AAPL,2022-04-12,165.3322,170.3103,162.7596,167.3154,15331369
AAPL,2022-04-13,163.2142,168.4932,161.9748,164.7149,2342144
AAPL,2022-04-14,168.2861,168.7358,164.2501,166.1153,62256100
AAPL,2022-04-15,170.723,171.4374,165.7685,169.0999,4659333
AAPL,2022-04-18,169.054,170.6933,167.4231,167.9569,12290530
AAPL,2022-04-19,168.1184,171.3502,166.799,171.2286,20117858
AAPL,2022-04-20,168.9267,174.5599,167.8707,172.614,7261217
AAPL,2022-04-21,171.6436,173.2418,169.1307,171.9346,38303239
AAPL,2022-04-22,170.3319,173.5556,165.829,170.6216,40913525
AAPL,2022-04-25,179.5135,181.7381,177.8932,178.0742,5989355
AAPL,2022-04-26,180.0622,180.3361,178.8415,179.9993,72117357
AAPL,2022-04-27,180.1903,182.9553,177.4957,177.8449,47745433
AAPL,2022-04-28,181.0784,182.6486,174.4923,179.2055,5563818
AAPL,2022-04-29,180.5972,181.0566,174.5522,178.7136,18860491
AAPL,2022-05-02,177.6714,182.0344,177.1647,181.2951,8096804
AAPL,2022-05-03,180.3445,181.3663,176.6888,179.3873,14830860
AAPL,2022-05-04,185.0806,186.2715,180.8133,180.9635,9791400
AAPL,2022-05-05,178.5681,184.564,178.4576,182.3846,41162306
AAPL,2022-05-06,180.988,181.8374,178.9934,179.7022,16006155
AAPL,2022-05-09,178.7569,179.1547,175.0302,178.4914,12975209
AAPL,2022-05-10,176.3432,182.1989,175.75,177.0784,26389660
AAPL,2022-05-11,180.2597,184.3645,175.5137,180.0955,15434457
AAPL,2022-05-12,184.0945,190.2729,183.7218,185.1795,22038559
AAPL,2022-05-13,188.5349,189.9417,186.4033,188.266,19767763
AAPL,2022-05-16,196.3602,197.4792,194.2113,196.6757,2425318
AAPL,2022-05-17,199.8377,201.921,194.8527,196.1244,11234095
AAPL,2022-05-18,198.5244,204.2114,196.0555,198.8333,3035198
AAPL,2022-05-19,200.9611,201.6978,194.8143,196.3244,31066497
AAPL,2022-05-20,193.8525,195.4833,192.7154,194.8427,36284748
AAPL,2022-05-23,197.8854,198.8668,192.6779,198.3767,11048543
AAPL,2022-05-24,198.1486,199.2954,195.1264,195.8837,13393069
AAPL,2022-05-25,196.6808,197.665,193.4911,196.2121,11874306
AAPL,2022-05-26,199.3197,202.1465,195.2814,196.9582,13960500
AAPL,2022-05-27,191.5152,194.9676,189.3636,194.6016,104976758
AAPL,2022-05-30,197.927,200.5112,196.3477,197.7456,16075799
AAPL,2022-05-31,198.8903,199.9015,195.6351,195.8282,6371181
AAPL,2022-06-01,205.9268,207.1211,200.1709,202.3133,7461445
AAPL,2022-06-02,202.982,203.4076,201.8557,202.0297,55636173
AAPL,2022-06-03,199.8423,202.4794,191.8289,197.6083,4834799
AAPL,2022-06-06,196.69,205.1149,193.2919,199.1407,5664372
AAPL,2022-06-07,204.2107,205.9005,198.5851,203.188,13844369
AAPL,2022-06-08,198.6899,205.7942,196.4682,202.8089,111344403
AAPL,2022-06-09,209.5295,209.5369,203.3539,205.1268,10264333
AAPL,2022-06-10,206.4594,209.3251,205.3764,205.6264,7541936
AAPL,2022-06-13,200.5955,209.7015,200.4817,205.4751,26784493
AAPL,2022-06-14,203.3084,209.3238,198.5085,203.9534,44100570
AAPL,2022-06-15,203.8319,204.7554,202.2062,204.517,14821115
AAPL,2022-06-16,204.8296,205.2604,201.0756,201.5806,11011610
AAPL,2022-06-17,196.1801,197.0921,192.8156,194.3953,7810133
AAPL,2022-06-20,195.3863,195.703,193.2432,194.3111,37257612
AAPL,2022-06-21,194.6693,197.1874,192.0827,193.2039,9033431
AAPL,2022-06-22,193.9738,194.2007,189.5032,190.8737,18926385
AAPL,2022-06-23,198.6383,199.4525,194.046,199.3513,13128012
AAPL,2022-06-24,198.9745,200.0349,197.8843,198.5671,13785939
AAPL,2022-06-27,200.1053,200.9374,196.0675,199.6543,18068216
AAPL,2022-06-28,197.6132,201.9569,197.5032,199.2801,11079000
AAPL,2022-06-29,195.889,203.1577,191.533,197.1041,9149213
AAPL,2022-06-30,198.0904,199.8719,197.3596,199.6759,11570026
AAPL,2022-07-01,201.5841,202.9746,200.9502,202.2977,34829225
AAPL,2022-07-04,205.7143,206.2841,196.7962,201.3162,4046635
AAPL,2022-07-05,201.3465,202.5441,197.4993,198.4373,30389557
