id,date,description,amount,category_name,type,payment_method
1,2024-08-01,Monthly Salary,4784.85,Income,income,bank_transfer
2,2024-08-19,Rent Payment,1552.75,Housing,expense,upi
3,2024-08-13,Grocery Store,94.92,Food & Dining,expense,credit_card
4,2024-08-24,Grocery Store,106.81,Food & Dining,expense,debit_card
5,2024-08-08,Restaurant,33.0,Food & Dining,expense,upi
6,2024-08-01,Restaurant,26.24,Food & Dining,expense,credit_card
7,2024-08-01,Restaurant,66.23,Food & Dining,expense,credit_card
8,2024-08-23,Restaurant,56.42,Food & Dining,expense,credit_card
9,2024-08-02,Coffee Shop,7.31,Food & Dining,expense,credit_card
10,2024-08-26,Coffee Shop,10.39,Food & Dining,expense,debit_card
11,2024-08-21,Coffee Shop,6.7,Food & Dining,expense,debit_card
12,2024-08-28,Coffee Shop,5.12,Food & Dining,expense,bank_transfer
13,2024-08-24,Coffee Shop,10.82,Food & Dining,expense,debit_card
14,2024-08-12,Food Delivery,29.43,Food & Dining,expense,debit_card
15,2024-08-02,Food Delivery,27.0,Food & Dining,expense,upi
16,2024-08-18,Food Delivery,39.93,Food & Dining,expense,credit_card
17,2024-08-22,Food Delivery,33.86,Food & Dining,expense,credit_card
18,2024-08-14,Bakery,14.45,Food & Dining,expense,credit_card
19,2024-08-18,Bakery,14.58,Food & Dining,expense,debit_card
20,2024-08-13,Bakery,12.09,Food & Dining,expense,debit_card
21,2024-08-07,Bakery,12.72,Food & Dining,expense,debit_card
22,2024-08-07,Fuel / Petrol,48.57,Transport,expense,cash
23,2024-08-04,Uber / Lyft,12.78,Transport,expense,credit_card
24,2024-08-15,Uber / Lyft,21.51,Transport,expense,debit_card
25,2024-08-15,Metro / Bus Pass,38.09,Transport,expense,debit_card
26,2024-08-11,Car Maintenance,110.07,Transport,expense,debit_card
27,2024-08-22,Car Maintenance,316.29,Transport,expense,bank_transfer
28,2024-08-11,Parking,5.87,Transport,expense,credit_card
29,2024-08-05,Parking,8.5,Transport,expense,debit_card
30,2024-08-11,Netflix,15.63,Entertainment,expense,upi
31,2024-08-23,Spotify,9.82,Entertainment,expense,debit_card
32,2024-08-20,Cinema Tickets,43.4,Entertainment,expense,upi
33,2024-08-18,Cinema Tickets,22.01,Entertainment,expense,credit_card
34,2024-08-02,Gaming / Steam,49.82,Entertainment,expense,credit_card
35,2024-08-16,Concert / Events,142.89,Entertainment,expense,debit_card
36,2024-08-06,Gym Membership,62.05,Health & Fitness,expense,credit_card
37,2024-08-23,Pharmacy,35.81,Health & Fitness,expense,debit_card
38,2024-08-08,Doctor Visit,59.63,Health & Fitness,expense,credit_card
39,2024-08-10,Health Insurance,121.8,Health & Fitness,expense,credit_card
40,2024-08-13,Amazon Purchase,120.66,Shopping,expense,credit_card
41,2024-08-01,Amazon Purchase,75.02,Shopping,expense,credit_card
42,2024-08-01,Clothing Store,154.39,Shopping,expense,debit_card
43,2024-08-19,Clothing Store,45.99,Shopping,expense,bank_transfer
